TIME,TEMPERATURA,,
2023-01-01T17:58:31.215Z,14,,
2023-01-01T17:59:31.689Z,13,,
2023-01-01T18:00:32.113Z,14,,
2023-01-01T18:01:32.531Z,15,,
2023-01-01T18:02:32.947Z,14,,
2023-01-01T18:03:33.356Z,15,,
2023-01-01T18:04:34.028Z,16,,
2023-01-01T18:05:34.203Z,14,,
2023-01-01T18:06:34.617Z,15,,
2023-01-01T18:07:35.034Z,15,,
2023-01-01T18:08:35.448Z,14,,
2023-01-01T18:09:35.864Z,14,,
2023-01-01T18:10:36.281Z,15,,
2023-01-01T18:11:36.694Z,15,,
2023-01-01T18:12:37.110Z,14,,
2023-01-01T18:13:37.577Z,15,,
2023-01-01T18:14:37.988Z,14,,
2023-01-01T18:15:38.403Z,14,,
2023-01-01T18:16:38.820Z,15,,
2023-01-01T18:17:39.235Z,15,,
2023-01-01T18:18:39.673Z,15,,
2023-01-01T18:19:40.193Z,14,,
2023-01-01T18:20:40.608Z,16,,
2023-01-01T18:21:41.020Z,15,,
2023-01-01T18:22:41.565Z,16,,
2023-01-01T18:23:41.978Z,16,,
2023-01-01T18:24:42.398Z,16,,
2023-01-01T18:25:42.811Z,16,,
2023-01-01T18:26:43.330Z,16,,
2023-01-01T18:27:44.104Z,16,,
2023-01-01T18:28:44.062Z,16,,
2023-01-01T18:29:44.477Z,16,,
2023-01-01T18:30:44.837Z,17,,
2023-01-01T18:31:45.173Z,16,,
2023-01-01T18:32:45.583Z,16,,
2023-01-01T18:33:46.068Z,16,,
2023-01-01T18:34:46.686Z,14,,
2023-01-01T18:35:46.831Z,16,,
2023-01-01T18:36:47.245Z,15,,
2023-01-01T18:37:47.832Z,16,,
2023-01-01T18:38:48.195Z,15,,
2023-01-01T18:39:48.610Z,15,,
2023-01-01T18:40:49.129Z,16,,
2023-01-01T18:41:49.575Z,16,,
2023-01-01T18:42:49.975Z,16,,
2023-01-01T18:43:50.845Z,16,,
2023-01-01T18:44:50.908Z,15,,
2023-01-01T18:45:51.324Z,16,,
2023-01-01T18:46:52.306Z,15,,
2023-01-01T18:47:52.157Z,15,,
2023-01-01T18:48:52.572Z,15,,
2023-01-01T18:49:52.994Z,16,,
2023-01-01T18:50:53.432Z,16,,
2023-01-01T18:51:53.847Z,18,,
2023-01-01T18:52:54.422Z,16,,
2023-01-01T18:53:54.879Z,16,,
2023-01-01T18:54:55.299Z,17,,
2023-01-01T18:55:55.710Z,16,,
2023-01-01T18:56:56.127Z,16,,
2023-01-01T18:57:56.544Z,16,,
2023-01-01T18:58:57.028Z,16,,
2023-01-01T18:59:57.483Z,15,,
2023-01-01T19:00:57.795Z,15,,
2023-01-01T19:01:58.209Z,16,,
2023-01-01T19:02:58.617Z,16,,
2023-01-01T19:03:59.026Z,16,,
2023-01-01T19:04:59.460Z,16,,
2023-01-01T19:05:59.855Z,14,,
2023-01-01T19:07:00.400Z,15,,
2023-01-01T19:08:00.700Z,16,,
2023-01-01T19:09:01.187Z,16,,
2023-01-01T19:10:01.599Z,16,,
2023-01-01T19:11:02.016Z,16,,
2023-01-01T19:12:02.430Z,17,,
2023-01-01T19:13:02.844Z,16,,
2023-01-01T19:14:03.261Z,16,,
2023-01-01T19:15:03.674Z,16,,
2023-01-01T19:16:04.090Z,16,,
2023-01-01T19:17:04.508Z,16,,
2023-01-01T19:18:04.920Z,16,,
2023-01-01T19:19:05.503Z,16,,
2023-01-01T19:20:05.752Z,16,,
2023-01-01T19:21:06.167Z,16,,
2023-01-01T19:22:06.582Z,14,,
2023-01-01T19:23:06.998Z,17,,
2023-01-01T19:24:07.989Z,16,,
2023-01-01T19:25:07.828Z,16,,
2023-01-01T19:26:08.249Z,17,,
2023-01-01T19:27:08.972Z,16,,
2023-01-01T19:28:09.124Z,18,,
2023-01-01T19:29:09.711Z,17,,
2023-01-01T19:30:10.158Z,17,,
2023-01-01T19:31:11.127Z,17,,
2023-01-01T19:32:10.996Z,17,,
2023-01-01T19:33:11.411Z,17,,
2023-01-01T19:34:11.831Z,15,,
2023-01-01T19:35:12.352Z,18,,
2023-01-01T19:36:12.787Z,18,,
2023-01-01T19:37:13.407Z,17,,
2023-01-01T19:38:13.804Z,17,,
2023-01-01T19:39:14.234Z,17,,
2023-01-01T19:40:14.653Z,17,,
2023-01-01T19:41:15.147Z,17,,
2023-01-01T19:42:15.533Z,17,,
2023-01-01T19:43:16.297Z,18,,
2023-01-01T19:44:16.469Z,17,,
2023-01-01T19:45:16.878Z,17,,
2023-01-01T19:46:17.294Z,17,,
2023-01-01T19:47:17.713Z,17,,
2023-01-01T19:48:18.169Z,16,,
2023-01-01T19:49:18.667Z,17,,
2023-01-01T19:50:19.577Z,18,,
2023-01-01T19:51:19.602Z,17,,
2023-01-01T19:52:20.016Z,18,,
2023-01-01T19:53:20.431Z,17,,
2023-01-01T19:54:20.850Z,16,,
2023-01-01T19:55:21.267Z,17,,
2023-01-01T19:56:21.683Z,17,,
2023-01-01T19:57:22.095Z,17,,
2023-01-01T19:58:22.574Z,17,,
2023-01-01T19:59:22.915Z,17,,
2023-01-01T20:00:23.350Z,18,,
2023-01-01T20:01:23.762Z,19,,
2023-01-01T20:02:24.183Z,17,,
2023-01-01T20:03:25.163Z,19,,
2023-01-01T20:04:25.104Z,17,,
2023-01-01T20:05:26.330Z,17,,
2023-01-01T20:06:26.039Z,18,,
2023-01-01T20:07:26.474Z,17,,
2023-01-01T20:08:26.990Z,16,,
2023-01-01T20:09:27.420Z,18,,
2023-01-01T20:10:28.510Z,18,,
2023-01-01T20:11:28.223Z,17,,
2023-01-01T20:12:29.059Z,17,,
2023-01-01T20:13:29.054Z,18,,
2023-01-01T20:14:29.472Z,17,,
2023-01-01T20:15:29.888Z,18,,
2023-01-01T20:16:30.303Z,18,,
2023-01-01T20:17:31.055Z,18,,
2023-01-01T20:18:31.150Z,17,,
2023-01-01T20:19:32.270Z,18,,
2023-01-01T20:20:31.985Z,18,,
2023-01-01T20:21:32.399Z,18,,
2023-01-01T20:22:32.813Z,17,,
2023-01-01T20:23:33.545Z,18,,
2023-01-01T20:24:33.704Z,17,,
2023-01-01T20:25:34.180Z,18,,
2023-01-01T20:26:34.768Z,18,,
2023-01-01T20:27:35.214Z,18,,
2023-01-01T20:28:35.630Z,17,,
2023-01-01T20:29:36.048Z,17,,
2023-01-01T20:30:36.630Z,16,,
2023-01-01T20:31:37.018Z,17,,
2023-01-01T20:32:37.383Z,17,,
2023-01-01T20:33:37.796Z,17,,
2023-01-01T20:34:38.211Z,17,,
2023-01-01T20:35:38.647Z,17,,
2023-01-01T20:36:39.798Z,16,,
2023-01-01T20:37:39.592Z,16,,
2023-01-01T20:38:40.131Z,16,,
2023-01-01T20:39:40.626Z,16,,
2023-01-01T20:40:41.043Z,16,,
2023-01-01T20:41:41.438Z,17,,
2023-01-01T20:42:41.856Z,17,,
2023-01-01T20:43:42.269Z,17,,
2023-01-01T20:44:42.858Z,17,,
2023-01-01T20:45:43.306Z,16,,
2023-01-01T20:46:43.721Z,17,,
2023-01-01T20:47:44.137Z,17,,
2023-01-01T20:48:44.555Z,17,,
2023-01-01T20:49:44.968Z,17,,
2023-01-01T20:50:45.384Z,18,,
2023-01-01T20:51:45.799Z,18,,
2023-01-01T20:52:46.214Z,18,,
2023-01-01T20:53:46.635Z,18,,
2023-01-01T20:54:47.047Z,18,,
2023-01-01T20:55:48.026Z,18,,
2023-01-01T20:56:47.909Z,18,,
2023-01-01T20:57:48.308Z,20,,
2023-01-01T20:58:48.723Z,18,,
2023-01-01T20:59:49.144Z,19,,
2023-01-01T21:00:49.643Z,19,,
2023-01-01T21:01:50.011Z,19,,
2023-01-01T21:02:50.589Z,18,,
2023-01-01T21:03:51.012Z,18,,
2023-01-01T21:04:51.462Z,19,,
2023-01-01T21:05:51.927Z,18,,
2023-01-01T21:06:52.294Z,19,,
2023-01-01T21:07:52.697Z,17,,
2023-01-01T21:08:53.113Z,19,,
2023-01-01T21:09:53.490Z,19,,
2023-01-01T21:10:53.947Z,20,,
2023-01-01T21:11:54.360Z,19,,
2023-01-01T21:12:55.299Z,19,,
2023-01-01T21:13:55.207Z,19,,
2023-01-01T21:14:55.595Z,19,,
2023-01-01T21:15:56.041Z,17,,
2023-01-01T21:16:56.890Z,17,,
2023-01-01T21:17:57.042Z,19,,
2023-01-01T21:18:57.494Z,18,,
2023-01-01T21:19:57.916Z,19,,
2023-01-01T21:20:58.474Z,18,,
2023-01-01T21:21:58.851Z,19,,
2023-01-01T21:22:59.263Z,18,,
2023-01-01T21:23:59.848Z,17,,
2023-01-01T21:25:00.306Z,18,,
2023-01-01T21:26:00.716Z,18,,
2023-01-01T21:27:01.134Z,19,,
2023-01-01T21:28:01.557Z,17,,
2023-01-01T21:29:01.966Z,18,,
2023-01-01T21:30:02.389Z,17,,
2023-01-01T21:31:02.807Z,17,,
2023-01-01T21:32:03.218Z,18,,
2023-01-01T21:33:03.901Z,17,,
2023-01-01T21:34:04.339Z,18,,
2023-01-01T21:35:04.754Z,19,,
2023-01-01T21:36:05.290Z,16,,
2023-01-01T21:37:05.711Z,17,,
2023-01-01T21:38:06.126Z,18,,
2023-01-01T21:39:06.543Z,18,,
2023-01-01T21:40:06.965Z,18,,
2023-01-01T21:41:07.380Z,17,,
2023-01-01T21:42:07.898Z,17,,
2023-01-01T21:43:08.313Z,18,,
2023-01-01T21:44:08.727Z,18,,
2023-01-01T21:45:09.146Z,17,,
2023-01-01T21:46:09.758Z,18,,
2023-01-01T21:47:10.752Z,18,,
2023-01-01T21:48:10.391Z,17,,
2023-01-01T21:49:10.805Z,18,,
2023-01-01T21:50:11.628Z,18,,
2023-01-01T21:51:11.641Z,18,,
2023-01-01T21:52:12.053Z,18,,
2023-01-01T21:53:12.469Z,18,,
2023-01-01T21:54:12.891Z,18,,
2023-01-01T21:55:13.303Z,17,,
2023-01-01T21:56:13.718Z,17,,
2023-01-01T21:57:14.097Z,18,,
2023-01-01T21:58:15.051Z,17,,
2023-01-01T21:59:14.931Z,17,,
2023-01-01T22:00:15.343Z,18,,
2023-01-01T22:01:15.762Z,18,,
2023-01-01T22:02:16.313Z,17,,
2023-01-01T22:03:16.722Z,17,,
2023-01-01T22:04:17.157Z,18,,
2023-01-01T22:05:17.655Z,18,,
2023-01-01T22:06:18.245Z,17,,
2023-01-01T22:07:18.689Z,17,,
2023-01-01T22:08:19.410Z,17,,
2023-01-01T22:09:19.525Z,16,,
2023-01-01T22:10:19.936Z,17,,
2023-01-01T22:11:20.351Z,15,,
2023-01-01T22:12:20.767Z,15,,
2023-01-01T22:13:21.178Z,16,,
2023-01-01T22:14:21.597Z,15,,
2023-01-01T22:15:22.015Z,13,,
2023-01-01T22:16:22.429Z,14,,
2023-01-01T22:17:22.832Z,13,,
2023-01-01T22:18:23.357Z,14,,
2023-01-01T22:19:23.976Z,14,,
2023-01-01T22:20:25.085Z,14,,
2023-01-01T22:21:24.912Z,14,,
2023-01-01T22:22:25.325Z,15,,
2023-01-01T22:23:25.741Z,14,,
2023-01-01T22:24:26.160Z,15,,
2023-01-01T22:25:26.575Z,14,,
2023-01-01T22:26:26.988Z,15,,
2023-01-01T22:27:27.520Z,15,,
2023-01-01T22:28:27.820Z,16,,
2023-01-01T22:29:28.237Z,15,,
2023-01-01T22:30:28.654Z,14,,
2023-01-01T22:31:29.069Z,14,,
2023-01-01T22:32:29.504Z,15,,
2023-01-01T22:33:30.047Z,15,,
2023-01-01T22:34:30.445Z,16,,
2023-01-01T22:35:30.861Z,15,,
2023-01-01T22:36:31.279Z,16,,
2023-01-01T22:37:31.713Z,15,,
2023-01-01T22:38:32.132Z,15,,
2023-01-01T22:39:32.714Z,15,,
2023-01-01T22:40:33.163Z,16,,
2023-01-01T22:41:33.579Z,17,,
2023-01-01T22:42:34.064Z,15,,
2023-01-01T22:43:34.481Z,16,,
2023-01-01T22:44:35.039Z,14,,
2023-01-01T22:45:35.330Z,16,,
2023-01-01T22:46:35.741Z,16,,
2023-01-01T22:47:36.155Z,16,,
2023-01-01T22:48:36.572Z,15,,
2023-01-01T22:49:36.987Z,18,,
2023-01-01T22:50:37.402Z,16,,
2023-01-01T22:51:37.819Z,16,,
2023-01-01T22:52:38.229Z,16,,
2023-01-01T22:53:38.648Z,15,,
2023-01-01T22:54:39.065Z,15,,
2023-01-01T22:55:39.480Z,16,,
2023-01-01T22:56:39.895Z,15,,
2023-01-01T22:57:40.312Z,17,,
2023-01-01T22:58:40.726Z,16,,
2023-01-01T22:59:41.177Z,17,,
2023-01-01T23:00:41.559Z,17,,
2023-01-01T23:01:41.973Z,16,,
2023-01-01T23:02:42.389Z,16,,
2023-01-01T23:03:42.811Z,15,,
2023-01-01T23:04:43.222Z,16,,
2023-01-01T23:05:43.655Z,15,,
2023-01-01T23:06:44.243Z,16,,
2023-01-01T23:07:44.691Z,16,,
2023-01-01T23:08:45.107Z,16,,
2023-01-01T23:09:45.523Z,15,,
2023-01-01T23:10:45.938Z,17,,
2023-01-01T23:11:46.353Z,16,,
2023-01-01T23:12:46.770Z,16,,
2023-01-01T23:13:47.221Z,16,,
2023-01-01T23:14:47.630Z,16,,
2023-01-01T23:15:48.208Z,16,,
2023-01-01T23:16:48.689Z,16,,
2023-01-01T23:17:49.068Z,16,,
2023-01-01T23:18:49.484Z,16,,
2023-01-01T23:19:49.899Z,16,,
2023-01-01T23:20:50.314Z,16,,
2023-01-01T23:21:50.735Z,16,,
2023-01-01T23:22:51.145Z,16,,
2023-01-01T23:23:51.568Z,16,,
2023-01-01T23:24:51.979Z,15,,
2023-01-01T23:25:52.398Z,17,,
2023-01-01T23:26:52.807Z,17,,
2023-01-01T23:27:53.224Z,15,,
2023-01-01T23:28:53.640Z,13,,
2023-01-01T23:29:54.054Z,16,,
2023-01-01T23:30:54.566Z,15,,
2023-01-01T23:31:54.886Z,16,,
2023-01-01T23:32:55.301Z,15,,
2023-01-01T23:33:55.813Z,15,,
2023-01-01T23:34:56.135Z,15,,
2023-01-01T23:35:56.549Z,14,,
2023-01-01T23:36:56.966Z,14,,
2023-01-01T23:37:57.380Z,15,,
2023-01-01T23:38:57.759Z,14,,
2023-01-01T23:39:58.429Z,15,,
2023-01-01T23:40:58.626Z,16,,
2023-01-01T23:41:59.154Z,15,,
2023-01-01T23:42:59.463Z,15,,
2023-01-01T23:43:59.874Z,15,,
2023-01-01T23:45:00.426Z,14,,
2023-01-01T23:46:00.708Z,15,,
2023-01-01T23:47:01.123Z,14,,
2023-01-01T23:48:01.536Z,15,,
2023-01-01T23:49:01.955Z,14,,
2023-01-01T23:50:02.650Z,15,,
2023-01-01T23:51:02.801Z,14,,
2023-01-01T23:52:03.321Z,15,,
2023-01-01T23:53:03.734Z,15,,
2023-01-01T23:54:04.274Z,14,,
2023-01-01T23:55:04.561Z,13,,
2023-01-01T23:56:04.980Z,15,,
2023-01-01T23:57:05.395Z,16,,
2023-01-01T23:58:05.816Z,14,,
2023-01-01T23:59:06.655Z,14,,
2023-01-02T00:00:06.642Z,15,,
2023-01-02T00:01:07.059Z,13,,
2023-01-02T00:02:07.577Z,14,,
2023-01-02T00:03:08.008Z,14,,
2023-01-02T00:04:08.596Z,14,,
2023-01-02T00:05:09.066Z,14,,
2023-01-02T00:06:09.482Z,14,,
2023-01-02T00:07:09.904Z,14,,
2023-01-02T00:08:10.316Z,14,,
2023-01-02T00:09:10.732Z,14,,
